2025-11-19 10:56:32 INFO  org.apache.kafka.clients.consumer.internals.ConsumerUtils - Setting offset for partition kafkaTopic-0 to the committed offset FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[127.0.0.1:9092 (id: 0 rack: null)], epoch=0}}
2025-11-19 10:56:32 INFO  org.springframework.kafka.listener.KafkaMessageListenerContainer - groupID: partitions assigned: [kafkaTopic-0]
2025-11-19 10:56:47 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-154 - Thread starvation or clock leap detected (housekeeper delta=11m13s611ms395µs600ns).
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: findUpiId
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: getCustomerDetails
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: findUpiId
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: getAccountDetail
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: getCustomerDetails
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: getAllBeneficiaries
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: getAccountDetail
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: getAllBeneficiaries
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: 9823651431@ICICI Bank
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: findUpiId
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: BankAccountDto [accountNumber=48201982, bankName=ICICI Bank, ifscCode=ICICI0000527, accountType=SAVING, balance=130925.0, panCard=GJPSW9998R, accountStatus=ACTIVE, openingDate=2025-11-18, customerDto=com.nihilent.bankingApplication.dto.CustomerDto@4cefe011]
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - After method: getAccountDetail
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before and after method: findUpiId
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Before method: findUpiId
2025-11-19 10:57:05 INFO  com.nihilent.bankingApplication.utility.LoggingAspect - Method returned: com.nihilent.bankingApplication.dto.CustomerDto@6ffc447d
